Pick,Round,Drafter,Player
1,1,Stu,Min Woo Lee
2,1,Alex,Chris Gotterup
3,2,Alex,Jake Knapp
4,2,Stu,Brooks Koepka
5,3,Stu,Marco Penge
6,3,Alex,Michael Thorbjornsen
7,4,Alex,Ryan Gerard
8,4,Stu,Sahith Theegala
9,5,Stu,Nicolai Hojgaard
10,5,Alex,Sam Burns
11,6,Alex,Pierceson Coody
12,6,Stu,Stephan Jaeger
13,7,Stu,Wyndham Clark
14,7,Alex,Gary Woodland
15,8,Stu,Chad Ramey
16,8,Alex,Isaiah Salinda
