current_pos,player_first_last,current_score,current_points,R1,R2,R3,R4,TOT,EARNINGS,FEDEX PTS,tourney_num,event_name
T44,Ryo Hisatsune,-15,1,68,65,69,71,273,"$25,377 ",9,2,The American Express
T56,Denny McCarthy,-14,1,67,70,68,69,274,"$20,884 ",5,2,The American Express
T56,Michael Brennan,-14,1,71,66,68,69,274,"$20,884 ",5,2,The American Express
T56,Taylor Moore,-14,1,70,68,66,70,274,"$20,884 ",5,2,The American Express
T56,John Parry,-14,1,67,70,67,70,274,"$20,884 ",5,2,The American Express
T56,Daniel Berger,-14,1,68,66,70,70,274,"$20,884 ",5,2,The American Express
T56,Davis Riley,-14,1,66,71,66,71,274,"$20,884 ",5,2,The American Express
T56,Max Greyserman,-14,1,67,65,71,71,274,"$20,884 ",5,2,The American Express
T63,Mac Meissner,-13,1,70,64,71,70,275,"$19,688 ",4,2,The American Express
T63,Davis Chatfield,-13,1,65,70,69,71,275,"$19,688 ",4,2,The American Express
T63,Chandler Phillips,-13,1,66,68,70,71,275,"$19,688 ",4,2,The American Express
T63,Chad Ramey,-13,1,67,73,63,72,275,"$19,688 ",4,2,The American Express
T63,Seamus Power,-13,1,67,68,68,72,275,"$19,688 ",4,2,The American Express
T63,Matt Fitzpatrick,-13,1,69,67,65,74,275,"$19,688 ",4,2,The American Express
69,Adrien Dumont de Chassart,-12,1,71,65,67,73,276,"$19,044 ",3,2,The American Express
T70,Zach Johnson,-10,1,67,71,67,73,278,"$18,768 ",3,2,The American Express
T70,Adrien Saddier,-10,1,68,69,66,75,278,"$18,768 ",3,2,The American Express
72,Gary Woodland,-9,1,66,69,69,75,279,"$18,492 ",3,2,The American Express
73,Zecheng Dou,-6,1,66,70,69,77,282,"$18,308 ",3,2,The American Express
CUT,Kurt Kitayama,CUT,0,71,69,66,--,206,--,0,2,The American Express
CUT,Austin Eckroat,CUT,0,66,74,66,--,206,--,0,2,The American Express
CUT,Brandt Snedeker,CUT,0,71,67,68,--,206,--,0,2,The American Express
CUT,Sudarshan Yellamaraju,CUT,0,70,68,68,--,206,--,0,2,The American Express
CUT,Brice Garnett,CUT,0,70,67,69,--,206,--,0,2,The American Express
CUT,Kris Ventura,CUT,0,70,67,69,--,206,--,0,2,The American Express
CUT,Camilo Villegas,CUT,0,69,68,69,--,206,--,0,2,The American Express
CUT,Davis Thompson,CUT,0,69,68,69,--,206,--,0,2,The American Express
CUT,Takumi Kanaya,CUT,0,67,70,69,--,206,--,0,2,The American Express
CUT,Doug Ghim,CUT,0,68,68,70,--,206,--,0,2,The American Express
CUT,Keita Nakajima,CUT,0,65,71,70,--,206,--,0,2,The American Express
